"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000123473","ENSG00000123473",1.95918453579526,2.96722238230325,47.2311578806769,2.90871849862207e-07,5.36945843835141e-05
"ENSG00000048462","ENSG00000048462",3.38324066958973,4.31429807942122,58.8599807576202,2.97831709954267e-07,5.46420692403825e-05
"ENSG00000158578","ENSG00000158578",8.98201680034996,8.00417366589551,60.683725438406,3.25979713853239e-07,5.94416057486653e-05
"ENSG00000136950","ENSG00000136950",0.63294211962728,6.10994602399957,44.6795311260981,3.4337023634036e-07,6.22332540470211e-05
"ENSG00000145050","ENSG00000145050",1.22249089992157,4.91542994666656,46.2500754609704,3.46766809928293e-07,6.24702497042507e-05
"ENSG00000211660","ENSG00000211660",3.90398415082353,6.84358641139793,59.7342074692366,3.4890838342448e-07,6.24796718940664e-05
"ENSG00000138160","ENSG00000138160",2.43179307134843,3.94087933675532,53.3549802086505,3.51850615827835e-07,6.25418632029862e-05
"ENSG00000162062","ENSG00000162062",2.37851366168764,2.08398920298283,66.2435013022071,3.53438384260313e-07,6.25418632029862e-05
"ENSG00000118707","ENSG00000118707",-0.9195088228907,5.30232793712577,44.4730333517795,3.57352605521889e-07,6.28625274596005e-05
"ENSG00000161791","ENSG00000161791",-0.864266942112009,4.96460461936009,44.4368898814082,3.5986224404293e-07,6.29338035561627e-05
"ENSG00000007968","ENSG00000007968",1.67301297410599,4.52429860960805,49.8033409962338,3.66754232043755e-07,6.37661936585377e-05
"ENSG00000211677","ENSG00000211677",3.63308883221274,9.76078065674307,58.4939072339116,3.93492693403789e-07,6.80196473771117e-05
"ENSG00000211632","ENSG00000211632",2.36966907529968,2.42193633796106,46.1751444735548,3.98762847532655e-07,6.85344997440462e-05
"ENSG00000123080","ENSG00000123080",1.24155731725507,3.36117711632208,43.871056370946,4.01721303848779e-07,6.86484319519871e-05
"ENSG00000125730","ENSG00000125730",-1.54464296397533,2.8884845050756,43.7470378895281,4.11577390080618e-07,6.99330786952322e-05
"ENSG00000105011","ENSG00000105011",1.24647949179443,4.50159500254617,44.2976631223265,4.37549805388046e-07,7.39261408481894e-05
"ENSG00000134256","ENSG00000134256",-0.945914879446524,5.34334786755806,43.3197528522167,4.47574403784029e-07,7.51950142986594e-05
"ENSG00000178741","ENSG00000178741",0.704320740991381,6.73512411516478,43.273020495297,4.51712004475459e-07,7.54661871164167e-05
"ENSG00000243466","ENSG00000243466",3.38330760103318,7.66956552489139,57.3068190662946,4.55300886997646e-07,7.56431834759144e-05
"ENSG00000132432","ENSG00000132432",0.934145155850809,5.24080483658686,43.1923980971836,4.58947085424108e-07,7.58276938652374e-05
"ENSG00000163513","ENSG00000163513",-0.892261333427082,8.16716662984985,43.141815461198,4.6354987847604e-07,7.60052399879136e-05
"ENSG00000223350","ENSG00000223350",4.19101054845609,4.24159586539946,56.3613372596626,4.65104795779575e-07,7.60052399879136e-05
"ENSG00000259772","ENSG00000259772",1.87291702389722,2.40960951276315,48.3986536292827,4.89131093156671e-07,7.9109801058412e-05
"ENSG00000211673","ENSG00000211673",3.78062066464766,6.58716156311095,56.9461632731468,4.89393519338111e-07,7.9109801058412e-05
"ENSG00000196787","ENSG00000196787",1.66816432846211,3.48770913754374,44.4734068263015,4.95542197372428e-07,7.96730613571101e-05
"ENSG00000197061","ENSG00000197061",1.10481359769218,7.65810970832843,44.1743832430859,5.12610660768771e-07,8.19765872208026e-05
"ENSG00000185722","ENSG00000185722",-0.599847520109977,6.940056795386,42.4089718932285,5.3610402434175e-07,8.49789753431147e-05
"ENSG00000176595","ENSG00000176595",-1.11609011605066,4.55245590500698,42.381846398833,5.39013642513212e-07,8.49789753431147e-05
"ENSG00000166562","ENSG00000166562",1.51277487535176,6.32687886625325,49.3414854299771,5.39909891830523e-07,8.49789753431147e-05
"ENSG00000112029","ENSG00000112029",1.21590285310918,3.54821905268429,42.1865410382981,5.60470652628322e-07,8.76493823056314e-05
"ENSG00000135069","ENSG00000135069",1.38541063815886,3.5488230246729,42.1663735946295,5.62738050582887e-07,8.76493823056314e-05
"ENSG00000211966","ENSG00000211966",3.17548214453641,6.17233613070812,55.2447346430249,5.81072092493473e-07,8.99104400388582e-05
"ENSG00000112312","ENSG00000112312",1.45351611064419,3.69800986663933,42.611171671185,5.83438009121986e-07,8.99104400388582e-05
"ENSG00000154277","ENSG00000154277",3.67195460104407,1.83326687752409,46.1133943791726,5.86274395839403e-07,8.99104400388582e-05
"ENSG00000117480","ENSG00000117480",-0.993892101796658,4.51217817533556,41.8869864664067,5.95183919903543e-07,9.08110975750789e-05
"ENSG00000116584","ENSG00000116584",-0.815532542623832,6.17321316307086,41.7659001303852,6.09865246885873e-07,9.25787827823453e-05
"ENSG00000167815","ENSG00000167815",0.680306055394574,6.48304037418404,41.7230044561123,6.15159147599645e-07,9.29107793382191e-05
"ENSG00000115233","ENSG00000115233",0.703303105452914,5.94201853301639,41.6424290253378,6.25237185289374e-07,9.39583820405967e-05
"ENSG00000228716","ENSG00000228716",1.72027572830634,2.57431853858404,41.5731102308334,6.34049288280174e-07,9.4806219830093e-05
"ENSG00000024526","ENSG00000024526",3.10679521199705,1.74852403088041,59.873701811552,6.41937071605956e-07,9.52448463589314e-05
"ENSG00000203760","ENSG00000203760",1.47912239919748,3.07043374353,41.5010419340911,6.43352581993116e-07,9.52448463589314e-05
"ENSG00000174282","ENSG00000174282",-0.841155721191393,5.83843451843329,41.1848363344786,6.85940356467809e-07,0.000101049489458965
"ENSG00000164087","ENSG00000164087",1.52969310140303,2.99363453508445,40.7869757880768,7.43878351282141e-07,0.000109031086640415
"ENSG00000100095","ENSG00000100095",-1.69754277597464,2.57081564740181,59.1284986385745,7.47412565165863e-07,0.000109031086640415
"ENSG00000198740","ENSG00000198740",-0.778061750817169,5.14315430437907,40.7099698539395,7.55687980683079e-07,0.000109703150787998
"ENSG00000137807","ENSG00000137807",1.96195364147344,3.13776969015421,43.5206040565262,7.69794193109351e-07,0.000111211088622875
"ENSG00000137563","ENSG00000137563",2.56935206390214,3.5900989005231,48.1519828170662,7.8064731241943e-07,0.000112236816720688
"ENSG00000211950","ENSG00000211950",5.56767080107589,6.35267884764149,52.8625522924774,8.50803312047438e-07,0.00012173814854918
"ENSG00000163050","ENSG00000163050",-0.63592509462621,6.62230854912193,40.1007362145417,8.56538026869579e-07,0.000121975093778737
"ENSG00000165949","ENSG00000165949",8.10772994992434,7.7084890649254,52.7793748966426,8.66602965883454e-07,0.000122539383625724
"ENSG00000143870","ENSG00000143870",0.896158212355308,7.70749773324145,40.032545342778,8.68695847806505e-07,0.000122539383625724
"ENSG00000101187","ENSG00000101187",2.56530129216261,3.1442487818428,45.95381002733,8.94013816252278e-07,0.000125518700352227
